PCM-SEM MCMC 진단 리포트
N=86, scenario=medium, elapsed=57.8s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s    R_hat
delta_raw[9,2]      0.520424  0.024153   0.569372   0.562997    -0.422452     0.517403     1.450660    560.190  1184.160     4.76660  1.004910
delta_raw[9,3]      0.139652  0.024288   0.605505   0.601071    -0.863968     0.134622     1.142720    623.449  1214.920     5.30487  1.008280
delta_raw[9,4]      2.304150  0.023529   0.809294   0.828205     1.020320     2.281320     3.670120   1189.510  2302.980    10.12140  1.002230
delta_raw[10,1]    -2.195330  0.024956   0.576931   0.577832    -3.150010    -2.186750    -1.263570    541.134  1191.900     4.60446  1.007150
delta_raw[10,2]    -0.446932  0.024484   0.531995   0.523221    -1.324300    -0.439126     0.425604    477.880  1038.230     4.06623  1.009160
delta_raw[10,3]     0.886896  0.024555   0.587700   0.582834    -0.084436     0.889453     1.835640    572.023  1191.630     4.86729  1.005240
delta_raw[10,4]     2.125820  0.024887   0.815711   0.806473     0.824583     2.100830     3.502070   1071.400  1634.800     9.11643  1.004850
delta_raw[11,1]    -1.553930  0.023842   0.589181   0.585933    -2.531070    -1.548000    -0.573362    617.592  1343.320     5.25503  1.005260
delta_raw[11,2]    -1.155940  0.024606   0.558059   0.559710    -2.093130    -1.154160    -0.244714    517.949  1099.530     4.40718  1.007510
delta_raw[11,3]    -0.226210  0.024706   0.546371   0.557031    -1.112020    -0.219966     0.671469    495.159   995.496     4.21326  1.008940
delta_raw[11,4]     3.138570  0.024037   0.862245   0.826331     1.776330     3.099890     4.609940   1279.520  1450.410    10.88730  1.001450
delta_raw[12,1]    -1.632450  0.024936   0.584993   0.584786    -2.623740    -1.619690    -0.689806    555.115   960.308     4.72342  1.007260
delta_raw[12,2]    -1.052150  0.024105   0.534909   0.538227    -1.924430    -1.051500    -0.171771    493.408  1042.630     4.19836  1.007890
delta_raw[12,3]     1.354610  0.024070   0.599156   0.582484     0.381987     1.341730     2.371990    632.954  1465.710     5.38574  1.004960
delta_raw[12,4]     1.239550  0.024071   0.760909   0.738320    -0.035910     1.230990     2.525690   1006.230  1656.070     8.56194  1.004590
