scenario,N,method,param,true,bias,rmse,coverage,power
small,200,comp,g1,0.0,0.0125,0.0744,0.952,0.048
small,200,comp,ind,0.09,-0.0318,0.0396,0.672,0.72
small,200,oracle,b1,0.3,-0.0025,0.0699,0.96,0.982
small,200,oracle,b2,0.3,0.0007,0.073,0.94,0.992
small,200,oracle,g1,0.0,0.0048,0.0738,0.962,0.038
small,200,oracle,ind,0.09,-0.0006,0.0307,0.936,0.952
small,300,comp,b1,0.3,-0.0757,0.0926,0.72,0.988
small,300,comp,b2,0.3,-0.0374,0.071,0.91,0.982
small,300,comp,g1,0.0,0.005,0.0613,0.928,0.072
small,300,comp,ind,0.09,-0.0309,0.037,0.594,0.932
small,300,oracle,b1,0.3,0.0016,0.0556,0.96,1.0
small,300,oracle,b2,0.3,0.0006,0.0586,0.942,0.998
small,300,oracle,g1,0.0,-0.0031,0.0614,0.95,0.05
small,300,oracle,ind,0.09,0.0009,0.0252,0.928,0.992
