PCM-SEM MCMC 진단 리포트
N=200, scenario=medium, elapsed=189.7s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
delta_raw[9,2]     -0.488016  0.035802   0.503010   0.486560    -1.343140    -0.475819     0.332604    204.939   301.225    0.598809  1.020430
delta_raw[9,3]      0.188602  0.034477   0.495469   0.492221    -0.644405     0.195314     0.975721    214.743   324.508    0.627456  1.022030
delta_raw[9,4]      1.706440  0.035069   0.535765   0.513518     0.799868     1.722460     2.574220    244.125   370.835    0.713306  1.017700
delta_raw[10,1]    -1.074050  0.035259   0.510696   0.518901    -1.903660    -1.068170    -0.237705    217.423   381.136    0.635288  1.019770
delta_raw[10,2]    -0.884830  0.034706   0.502385   0.496416    -1.722870    -0.876188    -0.063008    217.645   339.859    0.635935  1.020520
delta_raw[10,3]     0.548351  0.035223   0.501822   0.501822    -0.284714     0.550628     1.352190    209.753   376.083    0.612875  1.019190
delta_raw[10,4]     1.498270  0.035016   0.540741   0.534080     0.610486     1.500590     2.399790    244.977   391.944    0.715795  1.019090
delta_raw[11,1]    -2.066210  0.035203   0.524165   0.518002    -2.956810    -2.058010    -1.202470    229.950   337.008    0.671888  1.016940
delta_raw[11,2]    -0.782309  0.036149   0.497152   0.489530    -1.599890    -0.776579     0.024623    197.807   305.347    0.577969  1.022160
delta_raw[11,3]     0.073578  0.035054   0.495532   0.493547    -0.748009     0.075735     0.855280    207.652   359.608    0.606737  1.019840
delta_raw[11,4]     1.711770  0.033861   0.528221   0.519458     0.857600     1.715820     2.576580    251.584   444.252    0.735101  1.015130
delta_raw[12,1]    -1.971610  0.035777   0.512651   0.514716    -2.797700    -1.979110    -1.155610    214.315   303.583    0.626205  1.018290
delta_raw[12,2]    -0.613022  0.034843   0.491806   0.485311    -1.434240    -0.613187     0.176277    208.037   320.161    0.607862  1.020910
delta_raw[12,3]     0.958685  0.035173   0.501490   0.505223     0.127728     0.962600     1.772320    211.794   300.288    0.618839  1.021350
delta_raw[12,4]     1.272470  0.034695   0.546665   0.535141     0.350950     1.287740     2.159220    257.621   524.234    0.752741  1.017980
delta_raw[13,1]    -1.463330  0.034740   0.502133   0.496594    -2.311860    -1.458430    -0.658832    214.023   345.814    0.625351  1.019530
delta_raw[13,2]    -0.449526  0.035322   0.496971   0.482522    -1.276190    -0.452759     0.357758    204.012   365.205    0.596101  1.021690
delta_raw[13,3]     0.393352  0.035163   0.504008   0.491270    -0.444882     0.395774     1.210480    210.675   280.740    0.615569  1.019490
