PCM-SEM MCMC 진단 리포트
N=200, scenario=medium, elapsed=189.7s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
theta[35,2]        -0.727146  0.003136   0.318379   0.321404    -1.254400    -0.719839    -0.212087  10703.600  2745.200   31.274800  1.001240
theta[35,3]        -2.409670  0.007713   0.612126   0.594994    -3.457150    -2.371780    -1.467820   7178.520  2519.720   20.974900  1.001080
theta[36,1]        -0.058833  0.005687   0.475384   0.463169    -0.842749    -0.067658     0.734106   7175.370  3078.130   20.965700  0.999360
theta[36,2]         0.596238  0.003273   0.314437   0.310189     0.096278     0.589255     1.108080   9696.720  2414.660   28.332800  0.999365
theta[36,3]         1.478030  0.005689   0.480921   0.462456     0.699837     1.458610     2.294110   7428.750  2545.780   21.706000  1.000580
theta[37,1]        -0.672162  0.005074   0.461227   0.458019    -1.435550    -0.673016     0.085949   8390.980  2862.800   24.517500  1.002190
theta[37,2]        -0.582696  0.003263   0.310514   0.305839    -1.103120    -0.575062    -0.068986   9091.340  3080.100   26.563900  1.000440
theta[37,3]        -1.348360  0.005033   0.438375   0.428787    -2.103520    -1.343590    -0.634607   8133.310  2946.000   23.764700  1.000590
theta[38,1]        -1.416870  0.005175   0.472895   0.489711    -2.189370    -1.412600    -0.657011   8465.940  2725.630   24.736600  1.003300
theta[38,2]        -1.273990  0.003688   0.339775   0.344889    -1.839730    -1.275750    -0.721921   8755.820  2789.230   25.583600  1.001110
theta[38,3]        -2.176130  0.006918   0.563986   0.538511    -3.172800    -2.138080    -1.305670   7299.810  2606.730   21.329300  1.000210
theta[39,1]        -0.648433  0.005086   0.467882   0.472298    -1.430320    -0.646045     0.128116   8582.600  2861.910   25.077400  1.001140
theta[39,2]        -1.882000  0.004362   0.398838   0.389400    -2.555600    -1.865370    -1.252740   8874.330  2489.920   25.929800  1.000240
theta[39,3]        -2.241900  0.006934   0.575881   0.582627    -3.203100    -2.211830    -1.355690   7924.750  2804.190   23.155300  1.001110
theta[40,1]        -0.845354  0.005171   0.459089   0.452610    -1.589630    -0.850420    -0.096818   7988.860  2590.550   23.342600  1.001770
theta[40,2]        -0.454809  0.003234   0.310107   0.314124    -0.975324    -0.453189     0.052150   9723.770  2716.470   28.411800  1.000420
theta[40,3]        -0.466136  0.004134   0.408546   0.399952    -1.127740    -0.462525     0.187011  10097.400  2477.360   29.503600  1.003150
theta[41,1]         0.758545  0.006215   0.537344   0.533217    -0.111868     0.738157     1.674610   8233.920  2877.350   24.058600  1.001950
theta[41,2]         1.453770  0.003993   0.358118   0.358515     0.883008     1.441370     2.060710   8313.520  2471.580   24.291200  0.999967
theta[41,3]        -0.162258  0.004271   0.401740   0.383157    -0.814202    -0.168123     0.487893   8940.520  3005.820   26.123200  1.002450
theta[42,1]         0.686869  0.006611   0.532252   0.521439    -0.150750     0.674206     1.586160   6643.040  2850.020   19.410200  0.999831
theta[42,2]        -0.664347  0.003346   0.319813   0.314229    -1.202210    -0.659396    -0.144968   9483.380  2967.650   27.709400  1.000180
theta[42,3]        -0.620963  0.004347   0.404204   0.402744    -1.291430    -0.611250     0.025958   9289.430  2711.190   27.142700  1.001530
theta[43,1]         0.313617  0.006286   0.489251   0.483710    -0.458983     0.300964     1.132350   6212.820  2949.590   18.153200  1.000780
theta[43,2]         0.266211  0.003112   0.308341   0.313572    -0.234827     0.265061     0.769251   9991.660  2832.940   29.194500  1.001060
theta[43,3]        -0.239146  0.004453   0.393295   0.385827    -0.891273    -0.243355     0.422321   8062.310  3215.370   23.557200  1.000880
theta[44,1]        -0.317539  0.005585   0.475182   0.479349    -1.085330    -0.329827     0.483079   7542.230  2818.310   22.037600  1.002330
theta[44,2]         0.679467  0.003766   0.329623   0.325725     0.140987     0.674659     1.229540   7861.460  2962.440   22.970300  1.001040
theta[44,3]        -1.039280  0.004696   0.429139   0.407680    -1.772550    -1.026140    -0.347607   8926.980  2539.780   26.083700  1.004310
theta[45,1]         0.115679  0.006114   0.492012   0.484121    -0.685739     0.109058     0.923797   6680.930  2959.080   19.521000  1.002020
theta[45,2]         0.585115  0.003279   0.310014   0.310218     0.088192     0.580819     1.099260   9098.470  2985.450   26.584700  1.002210
theta[45,3]        -1.233140  0.004923   0.446441   0.434438    -1.991580    -1.212290    -0.521880   8599.810  2459.870   25.127700  1.000450
theta[46,1]        -0.120945  0.005214   0.469478   0.462544    -0.884079    -0.129562     0.658454   8319.900  2815.520   24.309900  1.000210
theta[46,2]         0.290005  0.003135   0.312596   0.306938    -0.212916     0.284091     0.799659   9951.670  2726.130   29.077700  0.999843
theta[46,3]         0.876066  0.004623   0.426029   0.426703     0.191809     0.869505     1.593200   8708.120  2870.310   25.444200  1.001060
theta[47,1]        -1.097420  0.005404   0.460747   0.461238    -1.850980    -1.099700    -0.337207   7429.420  3014.800   21.708000  1.001360
theta[47,2]        -0.594519  0.003275   0.307823   0.309573    -1.109090    -0.589871    -0.085477   8890.000  3080.400   25.975600  0.999690
theta[47,3]        -1.166210  0.004701   0.437270   0.420822    -1.923070    -1.158240    -0.461539   9021.070  2703.370   26.358600  0.999478
theta[48,1]         0.351267  0.005632   0.496955   0.500494    -0.460243     0.344097     1.176110   7884.540  3020.620   23.037800  1.000520
theta[48,2]        -2.587380  0.006012   0.486038   0.503387    -3.409700    -2.557450    -1.823380   6987.400  2776.150   20.416400  1.001620
theta[48,3]        -3.117100  0.009108   0.725222   0.704252    -4.358250    -3.071150    -1.969810   6872.080  2991.620   20.079500  1.000500
theta[49,1]         0.567145  0.005636   0.518244   0.520810    -0.256886     0.555271     1.458690   8691.420  3094.280   25.395400  1.002460
theta[49,2]        -1.429720  0.003790   0.345405   0.351358    -2.017350    -1.423750    -0.866873   8560.830  3050.330   25.013800  1.000580
theta[49,3]        -0.847029  0.004968   0.425021   0.434710    -1.565140    -0.842286    -0.157790   7506.360  2632.150   21.932800  1.000370
theta[50,1]         0.875031  0.006357   0.542241   0.533787     0.008668     0.857456     1.783790   7578.360  2896.220   22.143200  0.999865
theta[50,2]         0.565935  0.003696   0.319050   0.316868     0.037484     0.563504     1.093320   7833.860  2854.080   22.889700  1.000460
theta[50,3]        -0.528474  0.003918   0.403384   0.398011    -1.219280    -0.520566     0.118644  10829.100  2826.370   31.641500  1.002170
theta[51,1]        -2.653380  0.006678   0.558497   0.554219    -3.614690    -2.633990    -1.770920   7186.620  3133.930   20.998500  1.000310
theta[51,2]        -3.053130  0.007014   0.565232   0.550200    -4.035690    -3.019100    -2.182270   7227.250  2614.570   21.117300  1.001160
theta[51,3]        -1.014670  0.005151   0.435116   0.441001    -1.733780    -0.999647    -0.331268   7550.930  2665.980   22.063000  1.000280
theta[52,1]         0.425178  0.006206   0.503152   0.487324    -0.387463     0.414616     1.286430   6707.420  2785.840   19.598400  1.000910
theta[52,2]         0.866393  0.003362   0.319179   0.318724     0.357623     0.863475     1.387720   8620.890  3082.710   25.189300  1.000730
theta[52,3]         0.104938  0.004712   0.393354   0.396213    -0.533034     0.103081     0.743041   7008.450  2564.200   20.477900  1.002790
theta[53,1]        -2.430380  0.006523   0.549689   0.539220    -3.355550    -2.418440    -1.548700   7535.170  2652.470   22.017000  0.999960
theta[53,2]        -1.474110  0.004660   0.352196   0.343857    -2.072710    -1.468640    -0.917264   5943.780  2743.130   17.367100  1.003480
theta[53,3]        -2.243690  0.006512   0.574370   0.581187    -3.240190    -2.217440    -1.334390   8263.930  3036.820   24.146300  1.000820
theta[54,1]         0.883748  0.006687   0.566551   0.586516     0.004090     0.855770     1.837590   7722.990  2311.770   22.565700  1.000950
theta[54,2]        -1.101940  0.003991   0.332649   0.341455    -1.661370    -1.091940    -0.571756   7203.840  2776.920   21.048800  1.000430
theta[54,3]        -1.581670  0.005154   0.478450   0.464028    -2.387570    -1.563120    -0.821334   8828.710  2768.800   25.796500  1.002630
theta[55,1]        -1.938380  0.005858   0.505684   0.512161    -2.795050    -1.917980    -1.154790   7842.010  3000.330   22.913500  0.999853
theta[55,2]        -0.241216  0.003611   0.312984   0.317098    -0.745811    -0.241118     0.263897   7699.560  2959.960   22.497300  1.000650
theta[55,3]        -0.464572  0.004734   0.396290   0.399920    -1.125750    -0.448597     0.176147   7301.440  2622.080   21.334000  1.002710
theta[56,1]        -1.069600  0.005236   0.467794   0.456224    -1.853990    -1.068550    -0.301565   8038.370  2973.730   23.487300  1.003510
theta[56,2]        -2.028230  0.005232   0.426832   0.421747    -2.763670    -2.006900    -1.358500   7306.420  2584.190   21.348600  1.000810
theta[56,3]        -1.498510  0.005796   0.475913   0.470971    -2.317340    -1.479600    -0.738271   7236.450  2542.760   21.144100  1.003240
theta[57,1]         0.062101  0.005698   0.495774   0.486872    -0.731353     0.046941     0.897351   7751.240  2815.280   22.648300  1.001230
theta[57,2]        -1.483760  0.003783   0.355987   0.357622    -2.079460    -1.468270    -0.924187   9071.090  2746.790   26.504800  1.001540
theta[57,3]        -1.219140  0.004962   0.433719   0.437787    -1.951890    -1.208450    -0.537712   7979.490  2955.240   23.315200  0.999541
theta[58,1]        -0.633655  0.005626   0.476129   0.475571    -1.409730    -0.636375     0.159606   7322.480  2903.550   21.395500  0.999685
theta[58,2]        -0.063637  0.003250   0.302848   0.302279    -0.562417    -0.063140     0.427616   9005.070  2837.790   26.311800  1.001940
theta[58,3]        -2.295420  0.006846   0.578445   0.573995    -3.301110    -2.270320    -1.388800   7614.320  3100.030   22.248200  1.001070
theta[59,1]        -2.521580  0.006546   0.550082   0.549932    -3.435580    -2.503860    -1.639920   7418.410  2464.410   21.675800  1.001290
theta[59,2]        -2.226240  0.005430   0.451369   0.454412    -3.008400    -2.204970    -1.530950   7252.470  2730.040   21.190900  1.000730
theta[59,3]        -2.044990  0.006089   0.531140   0.510067    -2.977720    -2.030930    -1.206150   8286.120  2828.620   24.211200  1.001000
theta[60,1]        -1.022520  0.005087   0.466882   0.465627    -1.806380    -1.018130    -0.261652   8068.850  2974.130   23.576300  1.001090
theta[60,2]        -1.617580  0.004525   0.376372   0.366017    -2.264510    -1.606140    -1.023840   7243.750  2518.440   21.165500  1.000550
theta[60,3]        -1.932350  0.005796   0.524364   0.509632    -2.816140    -1.904980    -1.113680   8753.070  2578.630   25.575500  1.000980
theta[61,1]         0.571525  0.006003   0.527483   0.520295    -0.273546     0.552941     1.436400   7977.770  2898.310   23.310200  1.001540
theta[61,2]        -1.332350  0.003921   0.355704   0.345042    -1.933360    -1.320180    -0.762681   8662.370  2477.130   25.310500  1.001350
theta[61,3]        -1.195730  0.005094   0.447124   0.436322    -1.969630    -1.175880    -0.482222   8212.140  2392.880   23.995000  1.002540
theta[62,1]        -1.126140  0.005936   0.471149   0.473195    -1.919580    -1.115230    -0.370237   6368.450  2520.220   18.607900  1.000850
theta[62,2]        -2.633360  0.006080   0.491894   0.492195    -3.475620    -2.608130    -1.841870   6925.050  2814.960   20.234300  1.000900
theta[62,3]        -1.555840  0.005262   0.469945   0.464995    -2.373990    -1.534390    -0.821552   8329.500  3152.450   24.337900  1.002130
theta[63,1]        -0.043192  0.005172   0.477953   0.471073    -0.822883    -0.045172     0.740010   8793.640  2614.980   25.694100  1.003380
theta[63,2]         0.873004  0.003574   0.319329   0.316651     0.366735     0.869423     1.390450   8329.410  3123.440   24.337600  1.001340
theta[63,3]         0.563734  0.004430   0.401093   0.411938    -0.090008     0.557259     1.237150   8401.780  3150.930   24.549100  1.002490
theta[64,1]         0.446476  0.006442   0.515038   0.514210    -0.355556     0.437271     1.308060   6744.330  2454.080   19.706200  1.001100
theta[64,2]         1.061340  0.003588   0.330752   0.328593     0.529540     1.053910     1.617010   8906.670  3107.810   26.024300  1.000020
theta[64,3]        -0.342277  0.003966   0.389579   0.384305    -0.966399    -0.337094     0.288161   9964.080  2791.730   29.114000  0.999820
theta[65,1]         0.233074  0.005924   0.504724   0.507535    -0.583323     0.226159     1.067110   7499.660  2496.350   21.913200  1.000360
theta[65,2]        -0.459294  0.003545   0.310344   0.310669    -0.983611    -0.456694     0.041997   7871.520  2462.530   22.999700  1.001860
theta[65,3]         0.166348  0.004352   0.392165   0.374777    -0.475020     0.164471     0.821607   8254.900  2914.720   24.119900  1.003830
theta[66,1]         1.057860  0.006269   0.553613   0.550274     0.175610     1.042270     1.978570   8280.720  3283.770   24.195400  1.000650
theta[66,2]        -0.032999  0.003397   0.310688   0.307054    -0.546513    -0.033481     0.484040   8620.150  2483.420   25.187200  1.003590
theta[66,3]        -1.708600  0.005736   0.503822   0.507350    -2.575100    -1.687930    -0.925123   8234.760  2543.700   24.061100  1.002040
theta[67,1]         0.258994  0.005782   0.493068   0.474239    -0.534828     0.252865     1.092170   7904.820  3014.070   23.097000  1.000600
theta[67,2]         1.468760  0.003880   0.371336   0.375790     0.862047     1.458050     2.092070   9402.530  2887.070   27.473200  1.002550
theta[67,3]         0.618816  0.004303   0.407383   0.410636    -0.032375     0.608944     1.314670   9309.680  2851.540   27.201900  1.002260
theta[68,1]        -0.291309  0.005490   0.475999   0.474048    -1.085310    -0.304709     0.515420   7673.360  2964.990   22.420700  1.000840
theta[68,2]        -0.673563  0.003523   0.312601   0.296520    -1.198270    -0.671259    -0.148880   8102.380  2868.440   23.674300  1.000700
theta[68,3]        -1.813510  0.006320   0.525404   0.505597    -2.720450    -1.783150    -0.986359   7457.600  2541.460   21.790300  1.000710
theta[69,1]        -0.877051  0.005680   0.481760   0.479645    -1.667720    -0.878139    -0.104453   7411.430  2659.560   21.655400  1.001700
theta[69,2]        -0.357502  0.003321   0.308422   0.307907    -0.866289    -0.358511     0.155755   8902.160  2775.390   26.011200  0.999977
theta[69,3]        -2.347630  0.006513   0.579948   0.576600    -3.342020    -2.317810    -1.441150   8719.370  2898.670   25.477100  1.000070
theta[70,1]         1.170880  0.006671   0.568601   0.568692     0.278425     1.148320     2.127170   7767.710  2636.410   22.696400  1.001970
theta[70,2]         0.396368  0.003241   0.308499   0.296533    -0.123066     0.396584     0.910443   9270.960  2824.330   27.088700  1.000510
theta[70,3]        -0.224684  0.004470   0.401078   0.399656    -0.889744    -0.221712     0.432231   8232.550  2954.090   24.054600  1.000930
theta[71,1]        -0.259493  0.005277   0.475206   0.473640    -1.036390    -0.272287     0.535095   8245.380  2956.370   24.092100  1.001470
theta[71,2]        -0.578483  0.003522   0.321078   0.334420    -1.106820    -0.572681    -0.058625   8463.520  2521.410   24.729500  1.000710
theta[71,3]        -1.789700  0.005872   0.518133   0.516961    -2.672590    -1.770320    -0.960804   8255.890  2826.750   24.122800  1.001560
theta[72,1]        -0.558573  0.005202   0.455419   0.458786    -1.324790    -0.560505     0.182103   7707.820  2625.410   22.521400  1.000420
theta[72,2]        -1.464850  0.004143   0.352903   0.356602    -2.068350    -1.458360    -0.910259   7499.420  2909.070   21.912500  1.001990
theta[72,3]        -0.064417  0.004498   0.387383   0.394142    -0.709450    -0.065982     0.560942   7559.150  2824.730   22.087000  1.000550
theta[73,1]         0.858295  0.005849   0.522369   0.518754     0.025558     0.848488     1.741300   8326.090  2592.520   24.327900  1.001940
theta[73,2]         0.508167  0.003164   0.303097   0.300181     0.001503     0.504804     1.014690   9656.990  2863.970   28.216700  1.002520
theta[73,3]        -1.906510  0.006014   0.515982   0.506586    -2.791410    -1.885700    -1.101510   8064.200  2933.410   23.562700  1.002040
theta[74,1]        -0.905331  0.004980   0.470525   0.465745    -1.679060    -0.906857    -0.138613   9094.720  2608.170   26.573800  0.999990
theta[74,2]        -0.870600  0.003463   0.313773   0.308122    -1.395410    -0.867688    -0.358809   8428.770  2412.610   24.627900  1.001590
theta[74,3]        -0.813866  0.004338   0.405806   0.404378    -1.499660    -0.808442    -0.159683   9085.170  3112.990   26.545900  0.999835
theta[75,1]        -1.100050  0.005115   0.449824   0.437067    -1.840320    -1.104500    -0.343888   7862.920  3185.680   22.974600  1.001060
theta[75,2]        -2.289920  0.005441   0.445819   0.432742    -3.060650    -2.272710    -1.591720   7451.330  2587.170   21.772000  1.000770
theta[75,3]        -2.317860  0.006359   0.594093   0.592212    -3.316170    -2.286960    -1.388170   9360.010  3125.450   27.348900  1.001800
theta[76,1]         0.207349  0.005924   0.492159   0.477582    -0.582026     0.195934     1.015630   7239.050  2917.090   21.151700  1.004540
theta[76,2]        -0.460402  0.003323   0.311621   0.300193    -0.971037    -0.458573     0.055720   9083.610  2399.370   26.541300  1.001170
theta[76,3]        -1.776340  0.005654   0.507932   0.502226    -2.632180    -1.752800    -0.986368   8899.440  2495.900   26.003200  1.000490
theta[77,1]         1.426750  0.006863   0.604758   0.606506     0.470368     1.401690     2.457410   8112.700  2974.060   23.704400  1.001760
theta[77,2]         1.782730  0.004535   0.379006   0.389032     1.173660     1.768820     2.428280   7331.780  3008.620   21.422700  1.001740
theta[77,3]        -0.282787  0.004082   0.391433   0.374186    -0.933044    -0.277322     0.354841   9383.020  2507.660   27.416200  1.004300
theta[78,1]        -1.001910  0.005616   0.471154   0.465373    -1.771690    -1.002560    -0.226217   7091.220  2738.630   20.719800  1.001800
theta[78,2]        -1.551110  0.003821   0.365349   0.376037    -2.170080    -1.536390    -0.962447   9160.210  3307.090   26.765100  1.002560
theta[78,3]        -1.058190  0.004826   0.437493   0.433018    -1.803180    -1.042870    -0.357846   8545.190  2840.750   24.968100  1.001300
theta[79,1]        -0.205232  0.005846   0.480972   0.477205    -0.984883    -0.211205     0.592383   6897.160  3028.900   20.152800  1.001660
theta[79,2]        -0.189922  0.003607   0.308213   0.304264    -0.700556    -0.189159     0.315731   7396.040  2949.960   21.610400  1.000280
theta[79,3]        -1.307360  0.004848   0.445280   0.438660    -2.061740    -1.286410    -0.609232   8744.280  3039.950   25.549800  1.002330
theta[80,1]        -0.706624  0.005326   0.459367   0.469179    -1.428370    -0.712071     0.037997   7605.660  2777.410   22.222900  1.001090
theta[80,2]        -0.707234  0.003547   0.318084   0.313272    -1.233170    -0.699028    -0.184167   8154.180  3078.830   23.825600  1.002040
theta[80,3]        -2.091090  0.005903   0.549519   0.535447    -3.019000    -2.068800    -1.227780   9495.950  2625.510   27.746100  1.000780
theta[81,1]         0.258229  0.004952   0.484262   0.470231    -0.513370     0.254176     1.069050   9876.360  2872.730   28.857700  1.001600
theta[81,2]        -0.193649  0.003410   0.304529   0.304844    -0.696432    -0.193402     0.306178   8112.140  2990.380   23.702800  1.002320
theta[81,3]         0.031559  0.004025   0.392927   0.391046    -0.617175     0.036560     0.671306   9576.030  3016.620   27.980100  1.000170
theta[82,1]        -0.415954  0.005180   0.463242   0.464190    -1.171980    -0.411928     0.354121   8086.900  2992.850   23.629100  1.000850
theta[82,2]        -0.542597  0.003396   0.315500   0.319072    -1.064290    -0.538430    -0.031394   8730.930  2683.590   25.510800  1.000580
theta[82,3]         1.370560  0.004987   0.463244   0.464275     0.638180     1.359750     2.162330   9189.110  2882.390   26.849600  1.000810
theta[83,1]        -1.549000  0.006105   0.493405   0.481870    -2.394330    -1.536070    -0.735653   6757.140  2709.460   19.743600  1.000560
theta[83,2]         1.004320  0.003403   0.327043   0.325073     0.479606     1.005550     1.536520   9557.740  3007.150   27.926700  1.000090
theta[83,3]        -1.222860  0.005051   0.447728   0.459141    -1.986380    -1.210520    -0.510349   8364.200  2614.820   24.439300  1.001950
theta[84,1]         0.323107  0.005680   0.501048   0.503637    -0.484703     0.310012     1.147030   7775.330  3173.960   22.718700  1.001610
theta[84,2]         0.353235  0.003328   0.300697   0.302136    -0.133453     0.348733     0.851402   8300.360  2928.030   24.252700  1.000810
theta[84,3]        -0.390181  0.004333   0.404217   0.402007    -1.047920    -0.383891     0.278146   8966.510  2576.240   26.199200  1.001100
theta[85,1]        -0.661594  0.005450   0.459497   0.449088    -1.412380    -0.662708     0.100096   7287.390  2904.180   21.293000  1.001730
theta[85,2]        -0.402311  0.003763   0.311946   0.307456    -0.912746    -0.399718     0.115314   7127.880  2918.660   20.826900  1.002310
theta[85,3]        -1.552630  0.005398   0.470951   0.456458    -2.350110    -1.531240    -0.795524   8188.010  2445.840   23.924500  1.001520
theta[86,1]         0.148655  0.005387   0.487344   0.475041    -0.650157     0.140138     0.978661   8499.550  2716.090   24.834800  1.000340
theta[86,2]         0.484671  0.003538   0.315401   0.311806    -0.044415     0.480598     1.006800   8100.890  2846.270   23.669900  0.999996
theta[86,3]         0.888544  0.004866   0.423450   0.422187     0.206180     0.881833     1.607420   7936.830  2870.600   23.190600  1.002130
theta[87,1]         0.031766  0.005569   0.483855   0.501316    -0.756533     0.027464     0.818376   7945.730  2730.540   23.216600  1.002140
theta[87,2]        -0.141699  0.003218   0.298475   0.295217    -0.634518    -0.141176     0.344175   8679.720  3301.670   25.361200  1.001140
theta[87,3]        -0.592817  0.004555   0.403932   0.398910    -1.262440    -0.591137     0.059204   7982.020  2997.790   23.322600  1.000450
theta[88,1]         0.483899  0.005651   0.497744   0.502966    -0.309955     0.469742     1.319840   7934.880  2437.520   23.184900  1.002590
theta[88,2]         1.350290  0.004283   0.357945   0.354589     0.784937     1.344140     1.958310   7631.090  2662.880   22.297200  1.000830
theta[88,3]         0.458396  0.004820   0.405893   0.408358    -0.193989     0.456531     1.113140   7725.320  2123.990   22.572500  1.002700
theta[89,1]         0.855895  0.006406   0.530810   0.527492     0.011264     0.841030     1.747210   7035.160  2977.460   20.556000  1.001980
theta[89,2]        -1.401520  0.004081   0.339325   0.344334    -1.972570    -1.398390    -0.872992   7478.670  2685.790   21.851900  1.002360
theta[89,3]        -0.509830  0.004518   0.407547   0.403163    -1.173090    -0.502603     0.170539   8289.890  2959.330   24.222200  1.000340
theta[90,1]        -2.549340  0.006451   0.562512   0.570403    -3.489930    -2.527350    -1.654560   7895.520  2642.190   23.069900  1.000310
theta[90,2]        -2.284740  0.005534   0.441452   0.437560    -3.035040    -2.268080    -1.604240   6655.240  3066.580   19.445900  1.000410
theta[90,3]        -2.720660  0.008173   0.641279   0.626866    -3.829330    -2.684460    -1.739440   7023.080  2630.660   20.520700  0.999650
theta[91,1]        -1.086760  0.005664   0.479514   0.476728    -1.869360    -1.086700    -0.296853   7368.590  2688.660   21.530200  1.000040
theta[91,2]        -0.574770  0.003445   0.313522   0.314209    -1.089790    -0.573908    -0.067320   8571.250  2703.800   25.044300  1.001850
theta[91,3]        -0.637726  0.004644   0.413545   0.405313    -1.323830    -0.635214     0.046275   8057.370  3057.340   23.542800  1.001560
theta[92,1]        -0.226064  0.005412   0.471431   0.460750    -0.993829    -0.226119     0.556246   7725.080  2241.260   22.571800  1.004620
theta[92,2]        -0.206317  0.003586   0.308052   0.308580    -0.708143    -0.206013     0.294249   7639.720  2944.450   22.322400  1.001520
theta[92,3]        -2.012040  0.005972   0.527792   0.520159    -2.909660    -1.990740    -1.185770   8379.060  3083.380   24.482700  1.005380
theta[93,1]         0.432139  0.006308   0.501501   0.500454    -0.359218     0.413179     1.295820   6578.380  3306.980   19.221300  1.000330
theta[93,2]        -0.522882  0.003293   0.305383   0.302757    -1.036830    -0.518891    -0.021113   8778.720  2876.930   25.650500  1.000660
theta[93,3]        -1.541340  0.005526   0.477787   0.477759    -2.356510    -1.533270    -0.786600   7929.900  2800.190   23.170300  1.001580
theta[94,1]        -0.959020  0.005134   0.475727   0.478990    -1.754320    -0.955818    -0.193138   8736.830  2866.780   25.528100  1.003120
theta[94,2]        -2.850550  0.006358   0.522998   0.511238    -3.753860    -2.816730    -2.029640   7345.690  3013.470   21.463300  1.001630
theta[94,3]        -1.578960  0.005839   0.470517   0.453469    -2.394000    -1.553800    -0.830918   7214.760  2446.900   21.080800  1.002350
theta[95,1]        -1.117490  0.005725   0.473598   0.474577    -1.910490    -1.104640    -0.347299   7048.420  2819.430   20.594700  0.999805
theta[95,2]        -0.794915  0.003517   0.315650   0.316548    -1.324360    -0.794441    -0.272740   8408.040  2487.180   24.567400  1.000510
theta[95,3]        -1.186690  0.004820   0.431903   0.428420    -1.911220    -1.177320    -0.505871   8468.890  2428.700   24.745200  1.000900
theta[96,1]         1.428920  0.006641   0.612036   0.597035     0.458166     1.407780     2.507520   8599.590  2735.840   25.127100  1.000250
theta[96,2]         0.107354  0.003205   0.307855   0.304438    -0.393165     0.099768     0.611661   9433.770  2771.550   27.564500  1.001910
theta[96,3]        -1.064340  0.004987   0.427224   0.426544    -1.777150    -1.063170    -0.378024   7515.540  3006.530   21.959600  1.006730
theta[97,1]        -1.526030  0.005942   0.485004   0.481817    -2.320610    -1.520690    -0.720204   7042.930  2624.910   20.578700  1.000660
theta[97,2]        -0.773957  0.003379   0.312100   0.310511    -1.288920    -0.761694    -0.270061   8859.930  2671.550   25.887800  0.999853
theta[97,3]        -0.178900  0.004286   0.393236   0.389372    -0.827818    -0.179435     0.471109   8572.230  2793.440   25.047100  1.002690
theta[98,1]        -0.390063  0.005428   0.475309   0.459053    -1.174170    -0.396882     0.385027   7799.030  2950.660   22.787900  1.000790
theta[98,2]        -1.549700  0.004196   0.363017   0.364766    -2.141810    -1.538670    -0.986316   7910.410  2866.320   23.113400  0.999769
theta[98,3]        -1.648140  0.006039   0.477389   0.475760    -2.463900    -1.633360    -0.905636   6835.030  3214.840   19.971200  1.001330
theta[99,1]        -0.227311  0.005335   0.472417   0.474059    -0.991578    -0.234501     0.558971   8153.940  2601.080   23.824900  1.000220
theta[99,2]        -0.335730  0.003190   0.306243   0.291230    -0.840424    -0.335516     0.166325   9399.220  2893.530   27.463500  1.001220
theta[99,3]        -0.610704  0.004227   0.394674   0.394295    -1.274270    -0.606728     0.036943   8980.620  3043.900   26.240400  1.001010
theta[100,1]       -0.027870  0.005579   0.468680   0.469851    -0.784768    -0.030173     0.741451   7278.560  2854.500   21.267200  1.003610
theta[100,2]       -0.538905  0.003438   0.320158   0.321131    -1.068290    -0.534253    -0.017769   9313.690  2550.840   27.213600  1.001440
theta[100,3]       -1.142590  0.004801   0.435865   0.425223    -1.870600    -1.132450    -0.450782   8672.020  2806.660   25.338700  1.004030
theta[101,1]       -0.793481  0.005589   0.469770   0.477380    -1.588200    -0.785164    -0.022821   7064.670  2946.790   20.642200  1.001650
theta[101,2]       -1.836240  0.004222   0.375517   0.375790    -2.480600    -1.818860    -1.248940   8549.070  2531.570   24.979500  1.002650
theta[101,3]        0.867919  0.004801   0.434515   0.430709     0.162823     0.858278     1.619130   8701.660  2872.080   25.425300  1.000200
theta[102,1]        1.398420  0.006631   0.606113   0.595060     0.427139     1.375290     2.406680   8897.060  2490.640   25.996300  1.001100
theta[102,2]        1.531270  0.004363   0.382142   0.387010     0.937618     1.510260     2.178600   7929.620  3056.160   23.169500  1.002420
theta[102,3]        0.312401  0.004679   0.403724   0.409040    -0.358736     0.304129     0.989189   7663.600  3156.590   22.392200  1.001640
theta[103,1]        0.727616  0.006366   0.559006   0.566970    -0.150429     0.704934     1.662010   7945.710  3182.630   23.216500  1.002400
theta[103,2]        1.312540  0.003839   0.350234   0.354161     0.751579     1.304680     1.903020   8727.750  3138.930   25.501500  1.001580
theta[103,3]       -0.474805  0.004002   0.399388   0.392293    -1.122110    -0.473686     0.177501  10093.400  2814.050   29.491700  1.003980
theta[104,1]        1.370010  0.006788   0.602370   0.606573     0.436040     1.350550     2.394240   8228.550  3092.540   24.042900  1.001220
theta[104,2]        1.217880  0.003469   0.357464   0.357838     0.630147     1.217780     1.815840  10963.800  2914.990   32.034900  0.999836
theta[104,3]        1.351470  0.005024   0.461863   0.451352     0.619090     1.334450     2.145620   9379.170  2130.410   27.404900  1.000160
theta[105,1]        1.454780  0.006556   0.602366   0.613513     0.499458     1.434810     2.487480   8813.150  2763.690   25.751100  1.001120
