PCM-SEM MCMC 진단 리포트
N=50, scenario=medium, elapsed=27.3s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
delta_raw[14,3]     0.296518  0.030035   0.666995   0.659102    -0.808775     0.310989     1.389240   511.030  1025.270    12.58970  1.002340
delta_raw[14,4]     1.543810  0.028888   0.754605   0.776509     0.341975     1.527910     2.765150   714.238  1247.640    17.59600  1.002390
delta_raw[15,1]    -2.599450  0.029411   0.737498   0.736676    -3.854660    -2.583580    -1.439590   649.128  1664.020    15.99190  1.001890
delta_raw[15,2]    -1.041500  0.028970   0.593278   0.599658    -2.029260    -1.028510    -0.082119   434.808   962.486    10.71190  1.004650
delta_raw[15,3]     0.995824  0.030251   0.637713   0.628432    -0.071888     0.991549     2.049020   458.169   865.865    11.28750  1.002740
delta_raw[15,4]     1.392240  0.028656   0.778832   0.770015     0.142383     1.392720     2.712120   758.685  1608.870    18.69100  1.002360
delta_raw[16,1]    -2.111650  0.042232   0.796218   0.811335    -3.402810    -2.121130    -0.804801   342.177   693.847     8.42987  1.008790
delta_raw[16,2]    -0.987387  0.039644   0.750035   0.748191    -2.199150    -1.000030     0.228710   345.210   791.726     8.50461  1.009260
delta_raw[16,3]     0.342133  0.040243   0.773742   0.779208    -0.927527     0.343250     1.637610   371.276   826.740     9.14676  1.008210
delta_raw[16,4]     1.077120  0.038776   0.862532   0.867772    -0.332595     1.059920     2.512890   497.671  1069.120    12.26060  1.007040
delta_raw[17,1]    -1.895310  0.042811   0.776133   0.764874    -3.124140    -1.909730    -0.590305   327.189   641.274     8.06062  1.008720
delta_raw[17,2]    -0.415935  0.040481   0.764723   0.771877    -1.646080    -0.417207     0.846123   340.723   784.408     8.39405  1.007360
delta_raw[17,3]     0.197381  0.040198   0.785933   0.778739    -1.060780     0.177770     1.495360   378.580   814.336     9.32669  1.006990
delta_raw[17,4]     0.750435  0.040363   0.839080   0.842787    -0.627029     0.734451     2.156200   419.126  1001.370    10.32560  1.008070
delta_raw[18,1]    -1.831590  0.041487   0.780344   0.766907    -3.116140    -1.836560    -0.536286   348.711   760.687     8.59085  1.005840
delta_raw[18,2]    -0.630606  0.039750   0.767383   0.751869    -1.876180    -0.637747     0.655054   363.977   429.564     8.96695  1.008210
delta_raw[18,3]     0.078576  0.040514   0.767686   0.766837    -1.132960     0.066135     1.352610   359.035   723.910     8.84519  1.008900
delta_raw[18,4]     3.153530  0.038296   1.121220   1.083370     1.380610     3.100340     5.080650   830.676  1555.760    20.46450  1.004430
delta_raw[19,1]    -1.601860  0.040164   0.754321   0.752084    -2.811140    -1.604850    -0.361306   346.841   650.218     8.54477  1.007680
delta_raw[19,2]    -0.376637  0.041460   0.758470   0.755871    -1.604470    -0.384283     0.904613   323.971   645.918     7.98134  1.009430
delta_raw[19,3]     0.280430  0.040502   0.769617   0.785511    -0.952623     0.263921     1.551830   354.069   576.312     8.72285  1.008650
delta_raw[19,4]     3.037130  0.037908   1.158680   1.152640     1.240200     2.970500     5.012310   926.928  2159.390    22.83580  1.002520
delta_raw[20,1]    -1.462520  0.043101   0.771119   0.789494    -2.685160    -1.472880    -0.200003   313.574   726.316     7.72522  1.008470
delta_raw[20,2]    -0.933707  0.038576   0.739320   0.742881    -2.143260    -0.941459     0.296296   349.584   733.382     8.61236  1.008120
delta_raw[20,3]     1.885170  0.041448   0.889698   0.865380     0.422635     1.859040     3.403580   444.572  1146.530    10.95250  1.004920
delta_raw[20,4]     0.444564  0.038588   0.996217   1.009800    -1.139360     0.423648     2.092380   587.840  1654.800    14.48200  1.010090
delta_raw[21,1]    -1.772450  0.037930   0.778456   0.786486    -3.048910    -1.782900    -0.453165   397.201   743.522     9.78546  1.007650
delta_raw[21,2]    -0.928261  0.040868   0.754124   0.756723    -2.129950    -0.942243     0.331492   326.565   636.635     8.04526  1.008480
delta_raw[21,3]     0.782435  0.043230   0.796214   0.797811    -0.490921     0.764242     2.095270   324.331   602.023     7.99022  1.008850
delta_raw[21,4]     1.181680  0.038535   0.928182   0.906935    -0.321845     1.176660     2.760810   574.404  1246.940    14.15100  1.005630
theta[1,1]         -0.439739  0.008343   0.465838   0.458554    -1.194040    -0.445169     0.342430  3171.240  2788.610    78.12680  1.001060
theta[1,2]         -1.044410  0.005411   0.350885   0.340617    -1.622780    -1.029860    -0.488162  4413.860  2385.420   108.74000  0.999652
theta[1,3]         -0.558187  0.006391   0.426976   0.419721    -1.259300    -0.555281     0.142699  4427.510  3231.890   109.07600  0.999887
theta[2,1]          0.368375  0.008610   0.525127   0.512448    -0.453068     0.345047     1.251440  3831.680  2619.980    94.39730  1.001840
theta[2,2]         -0.562813  0.005035   0.325312   0.321935    -1.107940    -0.553365    -0.038455  4240.920  2669.240   104.47900  1.001500
theta[2,3]         -1.877440  0.008351   0.515953   0.494169    -2.774130    -1.853390    -1.081860  3969.370  3007.420    97.78930  1.003420
theta[3,1]         -1.437760  0.008654   0.473776   0.478487    -2.214660    -1.431340    -0.658874  3045.820  2783.380    75.03670  1.001720
theta[3,2]         -0.847576  0.005061   0.340035   0.335766    -1.408870    -0.844462    -0.296643  4618.380  2928.920   113.77800  1.002190
theta[3,3]         -2.311260  0.009253   0.579081   0.569964    -3.344210    -2.278790    -1.428820  4027.790  2780.540    99.22850  1.000520
theta[4,1]         -0.943826  0.008172   0.444863   0.441923    -1.658540    -0.950971    -0.211150  2954.130  2871.380    72.77800  1.001390
theta[4,2]          0.186014  0.004513   0.308222   0.318042    -0.322492     0.176380     0.710955  4739.170  3253.490   116.75400  1.000370
theta[4,3]         -1.213930  0.006830   0.459190   0.456646    -1.980020    -1.197770    -0.485496  4644.990  3089.400   114.43400  0.999816
theta[5,1]          0.426442  0.009526   0.533713   0.530183    -0.396465     0.409726     1.329240  3179.660  2276.620    78.33410  1.002090
theta[5,2]         -0.980431  0.005410   0.335864   0.337778    -1.537600    -0.979815    -0.440238  3924.730  2691.270    96.68970  1.004190
theta[5,3]          0.005526  0.006323   0.418528   0.420349    -0.680793     0.012015     0.683556  4398.640  3411.490   108.36500  1.001980
theta[6,1]          1.803820  0.010242   0.666642   0.669908     0.745824     1.771550     2.944150  4365.360  2739.120   107.54500  1.000220
theta[6,2]          1.854740  0.006956   0.414408   0.414676     1.214000     1.836670     2.576350  3774.640  2782.500    92.99200  0.999980
theta[6,3]          0.818494  0.007020   0.453597   0.462770     0.092667     0.805905     1.592660  4210.100  3223.620   103.72000  1.000220
theta[7,1]          0.416381  0.008977   0.523966   0.518563    -0.406093     0.401343     1.319860  3475.590  2968.240    85.62450  1.000200
theta[7,2]         -2.394950  0.007112   0.455193   0.458860    -3.183110    -2.388870    -1.682080  4205.250  2424.680   103.60000  1.000570
theta[7,3]         -2.096690  0.009033   0.577015   0.568410    -3.094590    -2.070410    -1.197900  4172.690  3095.030   102.79800  1.002140
theta[8,1]          0.711846  0.008588   0.555082   0.545954    -0.160915     0.682984     1.653430  4345.880  2633.040   107.06500  0.999851
theta[8,2]          0.070540  0.004487   0.313025   0.310420    -0.445022     0.070015     0.592129  4875.770  3215.770   120.12000  1.000210
theta[8,3]         -0.955189  0.006750   0.436476   0.432301    -1.688090    -0.953969    -0.255269  4256.110  2637.560   104.85400  1.004380
theta[9,1]          0.743045  0.009769   0.563566   0.553729    -0.156672     0.719451     1.721680  3436.140  2629.860    84.65280  1.000240
theta[9,2]         -1.301160  0.005440   0.355486   0.355448    -1.892910    -1.293960    -0.729090  4383.630  2986.250   107.99500  1.000220
theta[9,3]          0.667556  0.006566   0.442912   0.447187    -0.032595     0.657470     1.392560  4642.510  2917.780   114.37300  1.000210
theta[10,1]        -0.563828  0.007402   0.442515   0.431159    -1.268840    -0.568354     0.170158  3685.570  2884.880    90.79780  1.000420
theta[10,2]        -0.399953  0.005206   0.312317   0.320324    -0.919095    -0.399245     0.102622  3620.130  2652.840    89.18550  1.001610
theta[10,3]         0.159615  0.006249   0.423707   0.408476    -0.544924     0.159332     0.865394  4647.580  2853.170   114.49800  1.001850
theta[11,1]        -0.074711  0.008154   0.482306   0.476367    -0.832680    -0.085703     0.745769  3551.840  2582.250    87.50310  1.001950
theta[11,2]        -1.771190  0.005857   0.398034   0.397803    -2.434370    -1.764220    -1.141260  4681.010  2849.900   115.32100  1.001170
theta[11,3]        -0.093795  0.006150   0.413300   0.414269    -0.772134    -0.083620     0.577437  4467.520  2995.840   110.06200  1.001500
theta[12,1]         0.037074  0.008421   0.482396   0.483991    -0.738026     0.023166     0.844069  3391.480  3112.100    83.55250  1.001070
theta[12,2]        -1.575020  0.006020   0.370383   0.365446    -2.198330    -1.565320    -0.985410  3852.320  3101.540    94.90570  1.000640
theta[12,3]        -1.769280  0.007684   0.514906   0.505097    -2.640550    -1.750900    -0.929503  4592.120  2749.330   113.13100  1.002250
theta[13,1]         0.086173  0.007870   0.485508   0.480357    -0.686291     0.071230     0.895667  3855.020  2291.570    94.97230  1.001470
theta[13,2]        -1.404200  0.005991   0.365216   0.367135    -2.021940    -1.388140    -0.821389  3879.670  2655.800    95.57970  1.000210
theta[13,3]        -1.109010  0.007136   0.453928   0.450030    -1.869620    -1.097710    -0.379221  4122.020  2852.930   101.55000  0.999873
theta[14,1]        -0.774490  0.007786   0.448049   0.448694    -1.515320    -0.773168    -0.033143  3311.500  2744.570    81.58220  1.000520
theta[14,2]        -1.964190  0.006455   0.418324   0.409488    -2.683220    -1.953840    -1.295660  4248.820  3118.800   104.67400  1.002550
theta[14,3]        -2.436070  0.010304   0.597641   0.584446    -3.439870    -2.403090    -1.492080  3624.740  2735.210    89.29910  0.999963
theta[15,1]        -0.085304  0.007582   0.467962   0.462575    -0.839964    -0.092673     0.682311  3863.120  2730.770    95.17180  1.001190
theta[15,2]        -0.545126  0.004711   0.319756   0.326441    -1.078690    -0.547125    -0.004912  4637.320  3278.450   114.24500  1.001400
theta[15,3]        -1.438530  0.007655   0.476112   0.467789    -2.239000    -1.425940    -0.683236  3914.880  2968.840    96.44710  1.000650
theta[16,1]         0.141884  0.008423   0.509965   0.533785    -0.668232     0.130356     0.991401  3656.130  2569.760    90.07240  1.001040
theta[16,2]         0.173767  0.004419   0.312968   0.313006    -0.353202     0.181908     0.682049  5094.940  2725.490   125.51900  1.000070
theta[16,3]        -2.349480  0.008437   0.574688   0.553867    -3.331310    -2.324930    -1.450590  4865.400  2905.940   119.86400  1.000620
theta[17,1]        -1.780510  0.008679   0.494503   0.474266    -2.599420    -1.769740    -0.986246  3275.770  2832.820    80.70200  1.000550
theta[17,2]        -2.231560  0.007682   0.456037   0.446119    -3.024390    -2.218230    -1.522360  3771.540  2941.200    92.91580  1.002410
theta[17,3]        -2.941180  0.012285   0.684268   0.694774    -4.137830    -2.899230    -1.885040  3283.500  2710.720    80.89220  1.000620
theta[18,1]         0.134643  0.008317   0.503499   0.506681    -0.671790     0.110512     0.974788  3665.120  2931.620    90.29400  1.002920
theta[18,2]        -1.366710  0.005616   0.365885   0.348897    -1.985190    -1.366380    -0.769501  4407.750  2916.520   108.58900  1.000460
theta[18,3]        -0.386338  0.007105   0.418476   0.422346    -1.062560    -0.383762     0.299622  3517.790  3060.670    86.66440  1.001250
theta[19,1]        -1.201970  0.009023   0.459272   0.455797    -1.964320    -1.189290    -0.462023  2613.450  2674.820    64.38500  1.003490
theta[19,2]        -1.130930  0.005367   0.356302   0.363735    -1.734240    -1.118330    -0.561904  4551.640  2524.870   112.13400  1.000960
theta[19,3]        -1.369120  0.007539   0.479116   0.491257    -2.186700    -1.354690    -0.602859  4139.420  2536.420   101.97900  1.000740
theta[20,1]         1.079680  0.009363   0.570819   0.561353     0.202744     1.042830     2.059790  3922.790  2793.980    96.64190  1.000590
theta[20,2]         0.186147  0.004897   0.318309   0.322937    -0.324907     0.184490     0.714200  4334.540  3241.610   106.78600  1.000560
theta[20,3]        -0.558738  0.007073   0.436901   0.437334    -1.298100    -0.551104     0.144249  3879.660  2647.200    95.57930  1.001390
theta[21,1]        -0.119324  0.008177   0.479886   0.486686    -0.893454    -0.130615     0.683299  3468.740  2637.410    85.45600  1.001090
theta[21,2]         0.547789  0.005085   0.324788   0.323263     0.023886     0.540654     1.089260  4150.320  2879.430   102.24700  1.000390
theta[21,3]        -0.088337  0.006734   0.415687   0.404528    -0.753586    -0.094885     0.609538  3848.300  2518.550    94.80690  1.000310
theta[22,1]        -0.279364  0.008694   0.471818   0.469845    -1.036500    -0.278903     0.517449  2996.380  2610.840    73.81880  1.000350
theta[22,2]        -1.772690  0.006488   0.387971   0.374119    -2.417900    -1.764650    -1.152800  3646.260  2674.310    89.82940  1.001130
theta[22,3]         0.068710  0.006790   0.425429   0.414497    -0.635046     0.070268     0.761940  3960.050  3038.010    97.55970  1.000930
theta[23,1]         0.953447  0.009966   0.568229   0.564958     0.033682     0.944847     1.908200  3348.350  3119.260    82.48990  1.000690
theta[23,2]         0.266533  0.004741   0.313687   0.309408    -0.252211     0.261424     0.783679  4403.770  2970.250   108.49100  1.000160
theta[23,3]         1.439950  0.008016   0.501994   0.515690     0.667905     1.423540     2.295820  4095.250  3246.250   100.89000  1.001420
theta[24,1]         1.013600  0.008868   0.562969   0.574500     0.100621     1.001260     1.972040  4105.280  2873.050   101.13800  1.001040
theta[24,2]         1.051270  0.005199   0.339674   0.331576     0.523072     1.046300     1.611560  4509.350  3155.180   111.09200  1.001090
theta[24,3]         1.088890  0.007174   0.458699   0.457124     0.353380     1.078000     1.844770  4174.740  2898.220   102.84900  1.000920
theta[25,1]        -0.078336  0.008455   0.485520   0.485478    -0.871702    -0.076425     0.697570  3399.580  3069.090    83.75200  1.000910
theta[25,2]        -1.050260  0.005305   0.343522   0.344661    -1.621110    -1.047050    -0.495997  4277.140  2875.670   105.37200  1.000760
theta[25,3]        -0.893397  0.006456   0.437658   0.433566    -1.616730    -0.885949    -0.192845  4660.180  2944.320   114.80800  1.000880
theta[26,1]        -0.420124  0.008749   0.469388   0.456566    -1.167740    -0.432548     0.376018  2921.450  2918.610    71.97280  1.000670
theta[26,2]        -0.082535  0.004756   0.317254   0.323551    -0.595769    -0.081637     0.444876  4463.550  3232.690   109.96400  1.000510
theta[26,3]        -1.407370  0.006362   0.460045   0.465460    -2.182350    -1.396870    -0.677452  5245.740  3020.700   129.23400  1.000160
theta[27,1]         1.575390  0.009976   0.632267   0.626657     0.595680     1.563320     2.639200  4156.650  2749.440   102.40300  1.000160
theta[27,2]         0.693012  0.004819   0.323949   0.328158     0.177026     0.682560     1.235850  4559.500  2866.230   112.32800  0.999910
theta[27,3]         0.006626  0.006597   0.433402   0.420883    -0.703603     0.011567     0.746073  4359.510  3079.790   107.40100  1.000130
theta[28,1]         0.671895  0.009344   0.542529   0.510102    -0.172138     0.637525     1.612350  3470.880  2758.270    85.50850  1.000710
theta[28,2]        -0.974878  0.004881   0.345136   0.344920    -1.559400    -0.964185    -0.415937  5149.630  2802.210   126.86600  1.000380
theta[28,3]        -0.173251  0.006616   0.413087   0.398796    -0.861381    -0.168324     0.508651  4004.850  3216.190    98.66360  1.001910
theta[29,1]         0.523490  0.009298   0.519276   0.510504    -0.314775     0.510935     1.392050  3228.560  2670.420    79.53890  1.001780
theta[29,2]        -0.096183  0.004600   0.309040   0.308645    -0.604603    -0.096452     0.418727  4545.510  2735.190   111.98300  0.999777
theta[29,3]        -0.104429  0.006426   0.422524   0.416203    -0.792596    -0.110963     0.601629  4395.700  3010.120   108.29200  1.000710
theta[30,1]        -0.255030  0.007803   0.455638   0.443065    -1.008540    -0.260342     0.504160  3479.570  2929.780    85.72260  1.000470
theta[30,2]         0.853119  0.004938   0.336309   0.346878     0.303004     0.856529     1.406610  4664.160  2811.600   114.90600  1.003480
theta[30,3]         0.439022  0.007019   0.428239   0.427283    -0.251769     0.432187     1.159810  3751.590  2897.350    92.42410  1.000830
theta[31,1]         0.498506  0.008954   0.542362   0.543677    -0.338501     0.469835     1.421190  3823.540  3138.040    94.19670  0.999995
theta[31,2]         2.017400  0.006956   0.417993   0.417684     1.361220     1.998360     2.709820  3775.610  2580.950    93.01600  1.000650
theta[31,3]         0.052593  0.006650   0.420670   0.420358    -0.625501     0.048407     0.752707  4026.480  3028.330    99.19640  1.000890
theta[32,1]         0.115578  0.008303   0.496593   0.483448    -0.682749     0.100957     0.962744  3692.780  2692.180    90.97520  1.001180
theta[32,2]        -1.657230  0.006068   0.379853   0.375710    -2.290080    -1.654550    -1.045340  3996.080  2845.010    98.44740  1.000540
theta[32,3]        -0.766031  0.006710   0.446130   0.454295    -1.510790    -0.758976    -0.054574  4427.620  2829.610   109.07900  1.001810
theta[33,1]        -0.540381  0.007801   0.455082   0.448581    -1.277600    -0.544975     0.227955  3462.710  2463.380    85.30740  1.001670
theta[33,2]         0.234388  0.004206   0.301746   0.295300    -0.255278     0.235489     0.733527  5163.440  3325.250   127.20700  1.000840
theta[33,3]        -0.467888  0.006706   0.428683   0.425500    -1.174520    -0.458908     0.233848  4112.430  3248.140   101.31400  1.000490
theta[34,1]         0.946204  0.008866   0.579304   0.584698     0.034749     0.928414     1.936710  4402.340  2875.940   108.45600  1.000760
theta[34,2]         1.120390  0.005109   0.338581   0.341556     0.560887     1.114450     1.695430  4433.940  3101.910   109.23400  1.000710
theta[34,3]         0.179534  0.006543   0.426591   0.418909    -0.535874     0.179995     0.877250  4343.420  2848.450   107.00500  1.002300
theta[35,1]         0.587391  0.009596   0.534000   0.525811    -0.273297     0.581436     1.500710  3221.880  2824.940    79.37430  1.000690
theta[35,2]         0.740956  0.005228   0.330095   0.331824     0.202881     0.740988     1.285870  4079.760  2514.170   100.50900  0.999660
theta[35,3]        -0.553128  0.007038   0.440734   0.438232    -1.291970    -0.553742     0.157795  3975.080  2812.330    97.93010  1.002590
theta[36,1]        -1.098060  0.008515   0.458615   0.470565    -1.845340    -1.101180    -0.339499  2925.400  2683.960    72.07030  1.001740
theta[36,2]        -1.195680  0.005456   0.359437   0.353491    -1.808920    -1.189380    -0.621720  4401.500  2655.140   108.43500  1.000620
theta[36,3]        -2.691120  0.010408   0.654868   0.643419    -3.831690    -2.640130    -1.700190  4212.960  2642.650   103.79000  1.000780
theta[37,1]         0.190054  0.008901   0.507321   0.506148    -0.630466     0.181658     1.039310  3342.820  2788.000    82.35370  1.002270
theta[37,2]        -0.252780  0.004604   0.316312   0.311092    -0.770188    -0.245917     0.254755  4743.340  3034.300   116.85700  1.002210
theta[37,3]        -1.188600  0.007515   0.455801   0.462026    -1.948440    -1.176260    -0.458560  3783.980  2747.860    93.22210  1.000470
