PCM-SEM MCMC 진단 리포트
N=50, scenario=medium, elapsed=27.3s
chains=4, warmup=1000, sampling=1000
adapt_delta=0.9, max_treedepth=12

=== 파라미터 요약 ===
                     Mean      MCSE    StdDev       MAD        5%       50%       95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
b1               0.490955  0.004101  0.182990  0.180779  0.197653  0.483644  0.804513   2097.15   2198.92     51.6653  1.001150
b2               0.462238  0.004149  0.187753  0.188617  0.156015  0.456436  0.773196   2052.96   2723.82     50.5768  1.001410
g1               0.282980  0.005440  0.233046  0.232448 -0.087813  0.272168  0.681933   1851.99   2273.17     45.6257  1.001060
gamma_M          0.124267  0.006645  0.313341  0.310438 -0.398128  0.128529  0.626787   2227.88   2710.22     54.8860  1.000600
gamma_Y          0.027541  0.006581  0.324150  0.315528 -0.509807  0.033624  0.546691   2437.05   2724.61     60.0391  1.000360
alpha_M         -0.449999  0.005874  0.272576  0.264280 -0.898106 -0.450798 -0.005208   2264.30   2793.12     55.7832  0.999715
alpha_Y         -0.459293  0.006540  0.289750  0.289888 -0.931334 -0.461264  0.027150   1972.67   2558.42     48.5987  1.000690
indirect_effect  0.224032  0.002483  0.124870  0.116169  0.053930  0.208361  0.452674   2530.52   3108.70     62.3418  1.000810
total_effect     0.507012  0.004804  0.219833  0.219923  0.145997  0.502606  0.871935   2116.81   2995.01     52.1497  1.000460
prop_mediated    0.346594  0.130457  8.194590  0.288181  0.089966  0.432614  1.329080   2239.57   2511.85     55.1740  1.000860

=== 전체 파라미터 요약 ===
                        Mean      MCSE     StdDev        MAD           5%          50%          95%  ESS_bulk  ESS_tail  ESS_bulk/s     R_hat
lp__            -1355.310000  0.269082  10.925000  10.567900 -1373.810000 -1354.710000 -1337.900000  1668.180  2347.290    41.09730  1.000660
delta_raw[1,1]     -0.934496  0.011629   0.630292   0.637344    -1.986460    -0.930532     0.093835  2955.170  2848.840    72.80350  1.001110
delta_raw[1,2]     -1.113080  0.010509   0.564716   0.572498    -2.060350    -1.106450    -0.207549  2920.630  2824.420    71.95270  1.001060
delta_raw[1,3]     -0.166630  0.008917   0.449831   0.451215    -0.918660    -0.167987     0.564117  2559.590  2654.020    63.05820  1.000680
delta_raw[1,4]      0.454784  0.008657   0.439040   0.432333    -0.258500     0.463394     1.180200  2657.310  2726.830    65.46550  0.999885
delta_raw[2,1]     -2.065180  0.013871   0.854759   0.818863    -3.517120    -2.027410    -0.708342  3840.950  3084.670    94.62580  1.000380
delta_raw[2,2]     -1.551040  0.011285   0.583451   0.570596    -2.557530    -1.533380    -0.619922  2784.060  2822.220    68.58810  1.000230
delta_raw[2,3]     -0.637047  0.008812   0.426460   0.418246    -1.352690    -0.628402     0.056672  2378.370  2748.090    58.59340  1.001770
delta_raw[2,4]      0.685907  0.007526   0.404089   0.419517     0.027070     0.679902     1.347060  2900.870  2842.700    71.46590  1.000310
delta_raw[3,1]     -0.239339  0.022722   1.080690   1.043750    -1.911760    -0.292097     1.570080  2408.250  2099.390    59.32960  1.000400
delta_raw[3,2]     -3.265160  0.022044   0.956756   0.928168    -4.989640    -3.194660    -1.842460  2102.470  1925.040    51.79640  1.000440
delta_raw[3,3]     -0.505649  0.008388   0.438686   0.439404    -1.234500    -0.499064     0.202283  2770.830  2711.580    68.26220  1.000910
delta_raw[3,4]      0.079920  0.007724   0.395754   0.402737    -0.569360     0.072180     0.733134  2662.370  2887.720    65.59020  1.002690
delta_raw[4,1]     -1.709010  0.011851   0.663534   0.668283    -2.813670    -1.695630    -0.652783  3195.870  3055.660    78.73340  1.001560
delta_raw[4,2]     -0.435177  0.010222   0.560792   0.554648    -1.359410    -0.426341     0.446342  3007.100  2650.750    74.08290  0.999957
delta_raw[4,3]     -1.086640  0.009363   0.480619   0.489548    -1.891890    -1.075070    -0.314750  2702.450  3041.210    66.57760  1.000260
delta_raw[4,4]      1.118920  0.007686   0.423498   0.419809     0.441758     1.109050     1.838270  3059.770  2655.840    75.38060  0.999659
delta_raw[5,1]     -2.001160  0.030289   0.692230   0.711195    -3.119960    -1.981540    -0.910336   543.207  1120.480    13.38250  1.003300
delta_raw[5,2]     -0.942064  0.028244   0.607313   0.602808    -1.978620    -0.927656     0.054090   479.654  1031.260    11.81680  1.002300
delta_raw[5,3]      0.054697  0.029118   0.589992   0.589301    -0.943388     0.074222     1.009540   429.349   687.714    10.57740  1.002990
delta_raw[5,4]      2.190540  0.029274   0.794034   0.780642     0.950786     2.152250     3.566180   749.381  1518.400    18.46170  1.001010
delta_raw[6,1]     -1.338310  0.027821   0.628721   0.631873    -2.389750    -1.331960    -0.315670   526.958  1150.660    12.98210  1.001350
delta_raw[6,2]     -0.777955  0.030449   0.613163   0.619450    -1.788080    -0.759982     0.202054   427.216   705.452    10.52490  1.004220
delta_raw[6,3]      0.865229  0.027927   0.650103   0.641361    -0.227514     0.863842     1.926500   557.342  1256.000    13.73070  1.002400
delta_raw[6,4]      0.792822  0.032520   0.746726   0.734325    -0.481106     0.819958     1.977730   551.695  1102.030    13.59160  1.003390
delta_raw[7,1]     -1.571200  0.027723   0.661900   0.649087    -2.670730    -1.564930    -0.492657   589.107  1315.300    14.51320  1.003740
delta_raw[7,2]     -1.062980  0.028364   0.604458   0.598634    -2.076760    -1.048770    -0.098490   474.647   966.756    11.69340  1.003410
delta_raw[7,3]      0.506473  0.029016   0.626884   0.612979    -0.524261     0.508612     1.521690   481.230   844.622    11.85560  1.002030
delta_raw[7,4]      2.012850  0.028347   0.799329   0.790186     0.740453     1.986940     3.359610   804.671  1477.350    19.82390  1.001420
delta_raw[8,1]     -0.824382  0.028142   0.630605   0.631897    -1.882080    -0.807880     0.208541   518.124   885.184    12.76450  1.002180
delta_raw[8,2]     -0.755172  0.029301   0.621835   0.628311    -1.817310    -0.749574     0.257568   469.078   797.217    11.55620  1.003260
delta_raw[8,3]      0.393543  0.030303   0.640353   0.631790    -0.677708     0.397509     1.434360   465.326   674.592    11.46380  1.002610
delta_raw[8,4]      1.630950  0.027690   0.740036   0.740314     0.442434     1.636540     2.859260   741.721  1603.080    18.27300  1.002300
delta_raw[9,1]     -1.538620  0.029028   0.606024   0.595875    -2.563370    -1.528610    -0.540208   455.479   827.212    11.22120  1.004010
delta_raw[9,2]      0.697200  0.028829   0.665445   0.666659    -0.369383     0.698199     1.794890   547.655  1002.410    13.49200  1.002410
delta_raw[9,3]     -0.425215  0.029372   0.686016   0.676503    -1.593120    -0.405927     0.676394   572.442  1032.980    14.10270  1.002230
delta_raw[9,4]      1.733470  0.029347   0.733306   0.720801     0.555545     1.731230     2.935690   639.363  1246.230    15.75140  1.001000
delta_raw[10,1]    -1.315620  0.028452   0.627700   0.614338    -2.351820    -1.306250    -0.302068   507.695  1020.830    12.50760  1.003480
delta_raw[10,2]    -0.440884  0.029457   0.605086   0.594250    -1.466300    -0.431843     0.520790   438.393   798.116    10.80030  1.003380
delta_raw[10,3]     0.925721  0.029066   0.655976   0.659680    -0.140765     0.926280     1.982150   523.664  1129.600    12.90100  1.003380
delta_raw[10,4]     1.334860  0.029820   0.794017   0.782972     0.066778     1.325030     2.668830   734.345  1932.560    18.09130  1.001270
delta_raw[11,1]    -1.596840  0.027991   0.676884   0.673050    -2.716420    -1.583660    -0.486398   605.910  1582.600    14.92720  1.002070
delta_raw[11,2]    -1.294570  0.029482   0.628472   0.625704    -2.362860    -1.276380    -0.282589   475.290   753.860    11.70920  1.003200
delta_raw[11,3]     0.084822  0.029833   0.607231   0.618340    -0.925159     0.087341     1.071520   432.317   874.325    10.65060  1.003780
delta_raw[11,4]     1.035460  0.028234   0.661628   0.660598    -0.066503     1.049190     2.095340   566.028  1202.020    13.94470  1.002080
delta_raw[12,1]    -1.936990  0.028832   0.642105   0.643672    -3.018110    -1.930340    -0.856061   514.328  1090.720    12.67100  1.001840
delta_raw[12,2]    -0.065260  0.029056   0.603464   0.601292    -1.089310    -0.056994     0.919139   451.196   836.541    11.11570  1.005190
delta_raw[12,3]     0.426685  0.028663   0.648524   0.638392    -0.643986     0.436224     1.464230   532.914   918.071    13.12890  1.002330
delta_raw[12,4]     2.428180  0.029022   0.882368   0.882458     1.034200     2.387860     3.915890   934.533  1913.950    23.02310  1.002110
delta_raw[13,1]    -1.888280  0.028382   0.638346   0.649267    -2.953380    -1.884400    -0.864640   529.728   937.658    13.05040  1.002770
delta_raw[13,2]    -0.341613  0.028516   0.586802   0.581286    -1.316130    -0.335310     0.596194   442.734   808.895    10.90720  1.002910
delta_raw[13,3]     1.133590  0.030098   0.675291   0.672944     0.013489     1.143110     2.258080   516.084   958.594    12.71430  1.003240
delta_raw[13,4]     1.200470  0.028489   0.787573   0.770934    -0.050985     1.195480     2.494300   792.208  1911.910    19.51680  1.001060
delta_raw[14,1]    -1.622070  0.028959   0.608671   0.610829    -2.635480    -1.616410    -0.623534   458.414  1080.810    11.29350  1.002870
delta_raw[14,2]     0.103629  0.028839   0.617834   0.624190    -0.900512     0.094461     1.110190   480.165   970.567    11.82930  1.002150
