lp__,b1,b2,g1,gamma_M,gamma_Y,alpha_M,alpha_Y,indirect_effect,total_effect,prop_mediated
-623.43002,0.84215784,0.6553037,0.17521067,0.26030958,0.52925849,-5.1125865,-3.5473684,0.55186915,0.72707982,0.75902141
-599.49193,0.9711475,0.82711886,0.023696345,0.29096454,-0.044644398,-4.9516376,-2.4532798,0.80325441,0.82695076,0.97134491
-576.60523,0.76558599,0.91839626,0.3130207,0.633399,0.12312078,-5.5380622,-1.3529243,0.70311131,1.016132,0.69194879
-584.50148,0.66085285,0.66235547,0.30047619,-0.19986052,0.075375577,-5.8939798,-2.5640063,0.43771951,0.7381957,0.59295862
-583.60698,0.67740826,0.68203013,0.37778599,0.43389925,0.10115202,-6.10191,-2.363968,0.46201284,0.83979883,0.55014704
-574.91566,0.73732711,0.76105083,0.44682512,0.22348402,0.013760658,-5.7298941,-1.1263935,0.56114341,1.0079685,0.55670727
-578.65652,0.48063161,0.70855396,0.37169239,0.19818844,0.1565978,-6.1717462,-2.0841835,0.34055343,0.71224582,0.4781403
-566.47355,0.9961854,0.7781875,0.44169362,0.47657585,0.24267612,-5.2470762,-1.7451844,0.77521902,1.2169126,0.63703753
-576.65413,0.54212699,0.74212351,0.34067764,-0.088770778,-0.019911057,-5.9000422,-1.9333846,0.40232519,0.74300282,0.54148541
-593.31684,0.72058709,0.71483921,0.14574704,0.72595241,0.090527043,-5.5795665,-2.6833584,0.51510391,0.66085095,0.7794555
-591.65276,0.73739179,0.71581691,0.34814687,0.57890762,0.08915354,-5.4101709,-2.2336873,0.52783751,0.87598438,0.60256498
-576.71743,0.67796831,0.87022323,0.4534177,-0.17287782,-0.0080601706,-5.4505426,-0.76092695,0.58998377,1.0434015,0.56544273
-597.45832,0.55783375,0.89732643,0.45811954,-0.1587729,-0.16389002,-5.4344616,-0.73180484,0.50055896,0.95867851,0.52213433
-586.98175,0.60175802,0.88279378,0.54996068,-0.09747963,0.0068909069,-5.193048,-0.56811881,0.53122824,1.0811889,0.49133711
-559.41754,0.61038649,0.92231189,0.49648632,0.1346953,0.075035337,-5.271599,-0.64254313,0.56296672,1.059453,0.53137487
-576.19713,0.62053852,0.80389516,0.23227844,0.3207939,-0.096464648,-5.4629137,-1.4103216,0.49884791,0.73112635,0.68230055
-603.20228,0.47656558,1.0144686,-0.15619186,0.087762157,0.28771991,-6.0517224,-1.1913112,0.48346083,0.32726898,1.4772584
-603.16181,0.63768359,0.92345149,0.036304167,0.10736213,0.27265802,-5.7435725,-1.5640654,0.58886986,0.62517402,0.9419295
-576.642,0.68303311,0.69383802,0.43838435,0.19305302,-0.041337536,-5.9909797,-1.6017425,0.47391434,0.91229869,0.51947279
-546.41342,0.89776012,0.64578546,0.48826575,0.47373248,0.15717596,-5.4128425,-1.6603984,0.57976043,1.0680262,0.54283354
-566.0217,1.1339738,0.75842047,0.025735668,0.10752868,-0.034040964,-5.3622712,-1.7328178,0.86002893,0.8857646,0.97094525
-565.28941,1.0626727,0.78597759,0.12476335,0.4135817,0.082474069,-5.527288,-1.2947351,0.83523696,0.96000031,0.87003822
-561.27817,0.57938392,0.72239658,0.27530875,0.2418874,0.28202898,-6.3702915,-2.0131948,0.41854496,0.69385372,0.60321787
-574.14545,0.62090593,0.65378789,0.33799398,0.10428601,-0.082754411,-5.5153519,-2.1930001,0.40594078,0.74393476,0.54566718
-573.87042,0.90031885,0.90072738,0.020998887,0.24180745,0.15416961,-5.2635009,-0.71483073,0.81094184,0.83194073,0.97475916
-580.59698,0.78416713,0.59451667,0.29166859,0.19671394,0.41671069,-6.1379722,-2.2957857,0.46620044,0.75786902,0.61514645
-598.57484,0.62735346,0.64582167,0.19607109,0.19732382,-0.063619526,-6.2385351,-2.5589079,0.40515846,0.60122955,0.67388314
-587.2653,0.82329368,0.81519902,0.048135727,0.2598196,0.060274338,-4.9259817,-1.6613877,0.6711482,0.71928392,0.93307827
-609.96351,0.58026754,0.77181898,0.29605237,0.12058754,-0.020901767,-5.5487022,-1.7730976,0.4478615,0.74391387,0.60203408
-616.0743,0.43757929,0.79348329,0.36909401,0.30010114,0.29417783,-6.0541796,-1.8052903,0.34721186,0.71630587,0.48472569
-575.35766,0.50825977,0.70144505,0.35965518,0.09995954,0.25848675,-6.0800356,-2.445371,0.3565163,0.71617148,0.49780857
-576.86612,0.78226057,0.73040945,0.46534549,-0.31372214,0.12756142,-6.0834231,-2.2273296,0.57137052,1.036716,0.55113504
-561.50133,0.69656451,0.78003097,0.35782849,0.23338534,0.11214609,-6.1920434,-1.4161092,0.54334189,0.90117038,0.60292915
-570.63983,1.0288532,0.70783331,0.10952941,0.045263138,0.089428984,-6.0446595,-2.3136201,0.72825656,0.83778597,0.86926325
-565.62384,0.76331386,0.75306598,0.11716305,0.34678219,0.071747164,-6.3179436,-1.9115659,0.5748257,0.69198875,0.83068648
-564.48708,0.82296312,0.82634606,-0.15931796,0.020659411,0.078742308,-6.8022059,-0.10915952,0.68005233,0.52073437,1.3059486
-587.70712,0.87724454,0.83088349,-0.25320692,0.031794351,-0.089100225,-6.8463214,-0.10176202,0.72888801,0.47568109,1.5323039
-578.4639,0.69364736,0.6347926,0.36431512,0.34847624,0.15257884,-7.0074477,-1.0687007,0.44032222,0.80463734,0.54723065
-605.05743,0.99399495,0.53734662,0.010677386,0.18557222,0.16265818,-6.5028469,-2.4917445,0.53411983,0.54479722,0.98040117
-587.02053,0.67234577,0.53937038,0.49014892,-0.056213316,0.0041039134,-7.0173564,-1.7435953,0.36264339,0.85279231,0.42524233
-579.72504,0.93100035,0.74701608,-0.28386756,0.30539746,0.21480552,-6.337658,-1.1223951,0.69547223,0.41160467,1.6896607
-599.68558,0.75282514,0.63867337,-0.024533288,-0.10823784,0.092271217,-6.7627906,-1.8001986,0.48080937,0.45627608,1.0537685
-581.45361,0.66120462,0.66382338,0.48318683,0.48488965,0.10082748,-6.5038273,-1.2153194,0.43892309,0.92210992,0.47599866
-603.28663,1.0212459,0.61844274,0.11433535,-0.15685657,0.024696724,-6.5870457,-2.2889989,0.63158211,0.74591746,0.84671849
-571.79132,0.73754537,0.66509567,0.19886702,0.39495929,-0.10180022,-7.134182,-1.8738655,0.49053823,0.68940525,0.71153829
-590.14761,1.0689474,0.7514185,0.00063486311,0.099911963,0.083123019,-6.7630064,-1.0344479,0.80322683,0.80386169,0.99921023
-600.81021,0.5292003,0.50597814,0.51241203,0.31474898,0.11230593,-7.4606995,-1.6988279,0.26776378,0.78017581,0.34320954
-608.69196,1.0429627,0.70385727,0.024716174,0.044683751,0.21905554,-6.2155807,-2.2074873,0.73409687,0.75881305,0.96742785
-590.36792,0.57534003,0.63895326,0.058099927,0.26385666,-0.16080362,-6.9063352,-2.1591568,0.36761538,0.42571531,0.86352399
-574.67166,0.87603396,0.76483086,-0.031821944,0.14393204,0.33078393,-6.40146,-1.8982403,0.67001781,0.63819586,1.0498623
-570.41531,0.66937767,0.51219296,0.3741666,0.27474967,-0.024487111,-6.5144981,-3.2640405,0.34285053,0.71701713,0.47816226
-587.15889,0.63965912,0.78604198,0.48864923,0.16873822,0.22926424,-6.2926797,-1.3356223,0.50279892,0.99144815,0.50713587
-583.23849,1.199753,0.71280995,0.14503771,0.013546384,-0.19774004,-4.7386337,-2.6602683,0.85519591,1.0002336,0.85499617
-611.98992,0.9243092,0.86986259,0.59597198,0.52774697,0.41324253,-5.2651025,-0.97137928,0.80402199,1.399994,0.57430389
-584.54453,1.1191023,0.82067206,0.19268749,-0.021657074,-0.4042463,-5.7383143,-1.7156737,0.918416,1.1111035,0.82658007
-581.13783,0.59391312,0.84034964,0.32993544,0.20985804,-0.14873049,-6.2152681,-1.1373087,0.49909468,0.82903012,0.60202237
-569.73608,0.67774325,0.79717811,0.39696645,0.20608843,-0.17947826,-6.1336278,-1.6291278,0.54028208,0.93724852,0.57645551
-583.29694,0.80922253,0.59774486,0.19290988,0.27797216,0.38165195,-6.2150791,-2.4729139,0.48370861,0.67661849,0.71489121
